[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 0.044890, 0.025360, 0.001660, -0.065990, 0.000120, 3.030740, 21.000000, 0.020000, 0 x 0, 0.000000, 0.130000, 35.000000, 8.100000, 9.200000, 65 x 66, 8.090000, -0.717580, 0.035150, 0.004170, -1.210370, -0.000690, 7.017320, 1.000000, 9.300000, 0.363000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 0.037760, 0.018050, 0.001060, -0.064550, -0.000250, 3.704460, 149.000000, 0.080000, 0 x 0, 0.000000, 0.130000, 37.500000, 10.490000, 11.730000, 50 x 50, 10.440000, -0.734820, 0.027530, 0.003590, -1.170020, -0.000810, 8.019820, 1.000000, 11.800000, 0.460000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 0.033050, 0.013920, 0.000550, -0.065170, -0.000080, 4.319530, 40.000000, 0.010000, 0 x 0, 0.000000, 0.130000, 40.000000, 12.990000, 14.230000, 50 x 50, 12.750000, -0.739350, 0.022030, 0.004130, -1.169990, -0.000710, 9.048560, 1.000000, 14.300000, 0.558000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 0.013640, 0.005830, 0.000230, -0.025070, -0.000030, 4.715810, 4.000000, 0.020000, 0 x 0, 0.000000, 0.050000, 45.000000, 17.990000, 19.230000, 50 x 50, 18.560000, -0.732220, 0.014800, 0.003840, -1.170090, -0.000780, 10.994840, 5.000000, 19.300000, 0.752000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 0.025580, 0.008350, 0.000250, -0.065520, -0.000440, 5.867900, 1.000000, 0.050000, 0 x 0, 0.000000, 0.130000, 47.500000, 20.490000, 21.730000, 50 x 50, 19.970000, -0.723740, 0.012300, 0.003940, -1.170080, -0.000400, 11.943150, 3.000000, 21.800000, 0.850000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 0.011570, 0.004460, 0.000800, -0.024950, -0.000050, 5.565570, 5.000000, 0.010000, 0 x 0, 0.000000, 0.050000, 50.000000, 22.990000, 24.230000, 50 x 50, 20.740000, -0.713170, 0.010360, 0.003100, -1.170380, 0.000000, 12.885630, 2.000000, 24.300000, 0.947000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 0.022370, 0.006050, 0.001080, -0.064880, -0.000280, 7.123440, 8.000000, 0.020000, 0 x 0, 0.000000, 0.130000, 55.000000, 27.990000, 29.230000, 50 x 50, 25.840000, -0.686270, 0.007520, 0.003550, -1.170050, -0.000140, 14.772090, 1.000000, 29.300000, 1.142000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-01, 1654113600, 0.000000, 0.020680, 0.005060, 0.000260, -0.064850, -0.000190, 7.844110, 7.000000, 0.050000, 0 x 0, 0.000000, 0.130000, 60.000000, 32.990000, 34.220000, 50 x 50, 29.160000, -0.655940, 0.005550, 0.003230, -1.164940, 0.000000, 16.659830, 21.000000, 34.300000, 1.336000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000740, 0.002040, , 1.000000, 13.500000, 78 x 78, 15.770000, 16.250000, 10.000000, 0.000000, 0.010000, 0 x 163, 0.000000, -0.001480, 0.000520, 0.000550, -0.002750, -0.000080, 2.514760, , 15.700000, 0.611000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000910, 0.001910, , , 0.000000, 78 x 78, 15.270000, 15.750000, 10.500000, 0.000000, 0.010000, 0 x 132, 0.000000, -0.001830, 0.000590, 0.000480, -0.002620, -0.000370, 2.398700, , 15.200000, 0.591000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000600, 0.002360, , , 0.000000, 78 x 78, 14.770000, 15.250000, 11.000000, 0.000000, 0.010000, 0 x 112, 0.000000, -0.001820, 0.000630, 0.000720, -0.003100, -0.000210, 2.289270, , 14.700000, 0.572000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000150, 0.002760, , , 0.000000, 78 x 78, 14.270000, 14.750000, 11.500000, 0.000000, 0.010000, 0 x 97, 0.000000, -0.001500, 0.000690, 0.000630, -0.003000, 0.000000, 2.183870, , 14.200000, 0.552000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000210, 0.002590, , , 0.000000, 78 x 78, 13.770000, 14.250000, 12.000000, 0.000000, 0.010000, 0 x 91, 0.000000, -0.001640, 0.000740, -0.000040, -0.002240, -0.000200, 2.083610, , 13.700000, 0.533000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.001000, 0.002370, , , 0.000000, 28 x 78, 13.280000, 13.750000, 12.500000, 0.000000, 0.010000, 0 x 86, 0.000000, -0.001520, 0.000770, 0.000470, -0.002620, -0.000370, 1.986660, , 13.200000, 0.513000
