Implementation,PSteps,TSteps,MeanTime,StdTime,RunCount
gpu,160,80000,309.152539,10.180816125210365,10
hybrid2,160,50000,780.720312,12.055662812949329,10
gpu,80,60000,310.99709,28.53200491019826,10
cpu_acc,160,70000,289.502664,0.28252709141287036,10
hybrid1,60,100000,464.65206500000005,12.725473181491127,10
hybrid1,160,30000,367.70448799999997,18.161349099159764,10
base,80,40000,1169.2685390000001,7.343330933589322,10
base,60,80000,1721.258237,34.66455792890391,10
cpu_acc,200,90000,462.29630800000007,0.3747955584582102,10
hybrid1,100,100000,574.425747,22.16386271507947,10
hybrid2,140,10000,328.921113,12.719536367057174,10
gpu,180,100000,355.484985,18.280052932184635,10
gpu,200,60000,304.770832,18.836212991791935,10
hybrid1,140,70000,544.276658,32.35744214932008,10
cpu_acc,40,40000,45.141041,0.15923125645494918,10
hybrid1,20,70000,336.74389,10.236905025000905,10
base,200,100000,7266.732183,27.980744927643787,10
cpu_acc,140,30000,109.086963,0.4182677503452639,10
hybrid2,180,90000,1333.380609,16.33098082664864,10
gpu,180,40000,304.97702300000003,30.36872536193079,10
base,20,60000,264.27341,23.822426075465575,10
base,140,50000,2607.430957,5.297209261306216,10
hybrid2,40,70000,421.45580600000005,14.54821772395827,10
gpu,100,20000,251.02029,6.316750707444452,10
hybrid1,100,90000,543.360303,13.139299385290277,10
cpu_acc,140,100000,359.971205,0.27005562205879097,10
gpu,20,40000,271.611155,11.092573646890719,10
hybrid1,60,90000,467.500951,31.548969752994907,10
gpu,160,10000,245.900152,9.771690904364506,10
base,120,60000,2659.120309,18.1196656039984,10
hybrid2,20,40000,296.50276599999995,11.432456228019518,10
base,160,100000,5936.918547,19.862723964356586,10
base,40,50000,603.5933769999999,9.09294929999436,10
cpu_acc,60,90000,144.604356,1.83519604744561,10
gpu,40,70000,310.313578,17.843625794006982,10
hybrid2,120,20000,418.40117399999997,23.905954892418286,10
hybrid2,140,100000,1192.64563,15.594651833954666,10
base,160,80000,4752.798889,9.494548068635579,10
hybrid1,40,40000,298.12737899999996,11.891343409436269,10
cpu_acc,20,70000,40.9755,0.19779629234812957,10
hybrid1,120,40000,400.42208500000004,13.042484300136012,10
hybrid2,100,60000,640.282594,10.924507617315419,10
base,200,60000,4467.883556,21.35828794833412,10
base,180,40000,2656.562863,17.836394884701352,10
cpu_acc,100,40000,107.52275300000001,1.8474368003807644,10
hybrid2,80,60000,571.045969,18.299337594923674,10
base,60,10000,88.386112,0.2354370013306241,10
hybrid1,180,60000,538.920664,39.06630597494902,10
cpu_acc,80,50000,106.315146,0.075364033449503,10
base,100,20000,631.062648,5.324308082885912,10
cpu_acc,180,20000,93.872083,0.17198855517801603,10
